,ADA,ALGO,ATOM,BAL,BAND,BAT,BCH,BNB,BTC,COMP,CRV,DASH,DOGE,DOT,EGLD,EOS,ETC,ETH,ICX,IOST,IOTA,KAVA,KNC,LINK,LTC,MKR,NEO,OMG,ONT,QTUM,RLC,RUNE,SNX,SOL,SUSHI,SXP,THETA,TRB,TRX,VET,WAVES,XLM,XMR,XRP,XTZ,YFI,ZEC,ZIL,ZRX,AVG
LogisticRegression,0.07713607027790925,0.32057781695861276,0.3501693275522699,0.006109718128228608,0.028249826245705382,0.01830668661380863,0.022340768336463167,0.16344290010387758,0.4909210174191655,0.009462871589590532,0.03841980332715683,0.0,0.20161874358155518,0.3930162378278227,0.08221454916382397,-0.00046743265022178944,0.06119933458194305,0.44037084667302867,0.12250157890293892,0.0,0.0,0.247531827117493,0.07531045047581103,0.2567815522484832,-0.009244389442496509,0.0,0.029555483647002345,0.01685192254684878,0.05287319908062192,0.058440385542524106,0.3607900446055129,0.22944132697997943,0.4709270504634282,1.4268196144797196,0.005008527122888257,0.21339716566152833,0.07017463090832372,2.4774844461175003,0.8929236165106272,0.08289667166002967,0.3268850982750831,0.10463248081543411,0.05089746430241354,0.3118454470063743,0.0,0.07097787239351347,0.04525746925148169,0.04874413996983657,0.0,0.2192406971912988
GaussianNB,0.335845693740491,0.29469772650755877,0.5391884044617257,0.03521556082824798,0.01554749447754611,0.1604135358506706,0.04484694480443632,0.22945786478058733,0.4909210174191655,0.21912039188809374,0.1873279751802335,0.15928460419290447,0.24098761601143237,0.2529887468572905,0.26704752395949527,0.20995420492531014,0.10864058714226958,0.4418542254461853,0.13894799027957228,0.24869829855273135,0.11423836289379397,0.2083440602007633,0.21702950374931268,0.26708603521321905,0.11279783086057736,0.0,0.14482723023613076,0.0250907048447174,0.0925230805037216,0.14808594296600552,0.6597374047690552,0.2547640863789967,0.11436023059646383,1.4897017202757465,0.3468419794211654,0.14978317077216596,0.3729830030342941,2.42377454201504,0.8929236165106272,0.34230197129357554,0.27862963993128764,0.3469609231490548,0.0,0.3507838852008292,0.22021647343519135,0.0,0.03383563527558861,0.16033177836642767,0.12708292027584356,0.29624534978521516
DecisionTree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16344290010387758,0.4909210174191655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44037084667302867,0.0,0.0,0.0,0.0,0.0,0.2567815522484832,0.0,0.0,0.0,0.0,0.0,0.0,0.3607900446055129,0.22944132697997943,0.0,1.4268196144797196,0.0,0.0,0.0,1.3723753655106037,0.8929236165106272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1149768629496122
RandomForest,0.1885559418545486,0.0,0.6659498963854525,0.004451635281488816,0.007326634602443604,0.037167447459405076,0.0,0.16585986841571604,0.4909210174191655,0.07932909213132269,0.02109409528598659,0.060165317177277494,0.12600386581185768,0.23644031074041144,0.41359529681156415,0.0,0.019963769372391083,0.44777312169780376,0.0,0.0,0.10629960910771119,0.0,0.0,0.3026446289458192,0.0,0.0139785888647178,0.0,0.11084870057672343,0.014812194445629678,0.0,0.3607900446055129,0.22944132697997943,0.056995514749642956,1.4948567054839852,0.020815685936622363,0.16501087515806062,0.0,1.3723753655106037,0.8929236165106272,0.005243693469473007,0.26002907942514697,0.03724230463038303,0.012211488324320327,0.09147834185355727,0.0023453668418971186,0.0,0.15860167325971375,0.07320297439544307,0.0,0.1785050018269879
XGBoost,0.21173210994406,0.28785471466730717,0.5497642338310977,0.08419666282609532,0.01554749447754611,0.09648262063692385,0.0,0.16344290010387758,0.4909210174191655,0.32916315416104114,0.1563711286705766,0.09590589923322074,0.3431383326156281,0.3677059768611433,0.4553073850894162,0.03180186506201778,0.10933000772425694,0.44037084667302867,0.0,0.012577301112745291,0.1803966705519704,0.20453546548505996,0.2351124927741199,0.2567815522484832,0.09168659977900834,0.08353708895869982,0.0,0.39762015914842275,0.014812194445629678,0.05744446519091813,0.3607900446055129,0.22944132697997943,0.12494791237656129,1.4268196144797196,0.34066196024417517,0.11910559626773912,0.10783345805073397,1.3723753655106037,0.8929236165106272,0.16889160278059456,0.17218305680263818,0.12705861228958742,0.03851247818238469,0.08544114380467996,0.0,0.05609051062576443,0.04066688809793367,0.09072666185053244,0.017202893996582674,0.23541251190097573
LinearSVM,0.0,0.0,0.8681779156538589,0.0,0.028249826245705382,0.013457864458552814,0.022340768336463167,0.16344290010387758,0.4909210174191655,0.0,0.03841980332715683,0.0,0.256004671731453,0.026362871610941863,0.21654998297757322,-0.00046743265022178944,0.05537167568059724,0.44037084667302867,0.0,0.0,0.0,0.05977964215769511,0.07531045047581103,0.2567815522484832,-0.009244389442496509,0.0,0.03585079226433394,0.0,0.014812194445629678,0.015415917893770786,0.3607900446055129,0.22944132697997943,0.0329696085507998,1.4275052208289642,0.0043606879765837585,0.0,0.04466883623193812,2.594264591683808,0.9095072532870463,0.0,0.058519008466809255,0.10463248081543411,0.025498490114299055,0.03604162429397688,0.0,0.045804977849698704,0.03867372556009025,0.04874413996983657,0.0,0.18427205895563584
KNN,0.0,0.0,0.0,0.0,0.0,0.017121041446778375,0.009395592923253874,0.16344290010387758,0.4909210174191655,0.0592404234093237,0.0,0.018680205237538605,0.0,0.0,0.006505259701269472,0.0,0.0,0.44037084667302867,0.0,0.0,0.0,0.0,0.0,0.30622633011655503,0.003182938431612093,0.01734764099778599,0.0,0.0,0.0,0.0,0.4818477833177322,0.22944132697997943,0.0,1.504263860976218,0.0,0.008000083334583399,0.0,1.4126747041847296,0.8929236165106272,0.0,0.0,0.0,0.0,0.004954193751632544,0.0,0.0,0.0,0.0,0.0,0.12380693399011615
Ensemble_StackedLogReg,0.09380273712665953,0.12475590847177412,0.48751901408009746,0.06897631977672575,0.028249826245705382,0.14721547012450575,0.022340768336463167,0.16344290010387758,0.4909210174191655,0.2530364503795317,0.08760936433220745,0.018680205237538605,0.21995854859731767,0.45245684969514305,0.6370975575163258,0.0,0.09762814246535712,0.44425786428493025,0.10410687971778422,0.0,0.1943995622058315,0.0842823058118144,0.07531045047581103,0.285593057799694,0.052474509282951755,0.04189602345964443,0.03585079226433394,0.04205359970364364,0.014812194445629678,0.0340365527567527,0.39116749726393607,0.22944132697997943,0.12233671307647287,1.485710168503492,0.04307495639816742,0.1156135184596505,0.04466883623193812,2.397956814826724,0.8929236165106272,0.02945545311299315,0.31321268586745143,0.10463248081543411,0.09876769272295308,0.2674350906309081,0.0,0.09258250283503394,0.1135392631698325,0.06561146450578872,0.006151472524973698,0.2370825801337464
Ensemble_Brier,0.09380273712665953,0.13814521190117396,0.48751901408009746,0.06897631977672575,0.028249826245705382,0.15405125857061064,0.022340768336463167,0.16344290010387758,0.4909210174191655,0.2530364503795317,0.08760936433220745,0.018680205237538605,0.21995854859731767,0.45245684969514305,0.6370975575163258,0.0,0.09762814246535712,0.44425786428493025,0.10410687971778422,0.0,0.1943995622058315,0.0842823058118144,0.07531045047581103,0.285593057799694,0.052474509282951755,0.04189602345964443,0.03585079226433394,0.04205359970364364,0.014812194445629678,0.0340365527567527,0.39116749726393607,0.22944132697997943,0.12233671307647287,1.485710168503492,0.04307495639816742,0.1156135184596505,0.04466883623193812,2.397956814826724,0.8929236165106272,0.02945545311299315,0.3244085572575243,0.10463248081543411,0.09876769272295308,0.2674350906309081,0.0,0.09258250283503394,0.1135392631698325,0.06561146450578872,0.006151472524973698,0.23772382428202346
Ensemble_LogLoss,0.09380273712665953,0.12475590847177412,0.48751901408009746,0.06897631977672575,0.028249826245705382,0.14721547012450575,0.022340768336463167,0.16344290010387758,0.4909210174191655,0.2530364503795317,0.08760936433220745,0.018680205237538605,0.21995854859731767,0.45245684969514305,0.6370975575163258,0.0,0.09762814246535712,0.44425786428493025,0.10410687971778422,0.0,0.1943995622058315,0.0842823058118144,0.07531045047581103,0.285593057799694,0.052474509282951755,0.04189602345964443,0.03585079226433394,0.04205359970364364,0.014812194445629678,0.0340365527567527,0.39116749726393607,0.22944132697997943,0.12233671307647287,1.485710168503492,0.04307495639816742,0.1156135184596505,0.04466883623193812,2.397956814826724,0.8929236165106272,0.02945545311299315,0.31321268586745143,0.10463248081543411,0.09876769272295308,0.2674350906309081,0.0,0.09258250283503394,0.1135392631698325,0.06561146450578872,0.006151472524973698,0.2370825801337464
